HUPAC,WIF,WKHP,WKW,ENG,FER,NWLA,NWLK,OCCP,POBP,RELP,WRK,DIS,MIL,ANC,NATIVITY,DEAR,DEYE,DREM,PUBCOV,target,domain
2,3,0,0,0,2,1,1,18,39,7,2,1,3,0,0,1,1,1,0,1,2
0,2,0,0,0,0,1,0,16,6,10,2,1,1,0,0,1,1,1,1,1,9
2,2,0,0,3,0,1,1,18,4,8,2,1,3,0,1,1,1,1,1,0,4
1,1,8,1,0,2,2,2,25,44,0,1,1,3,1,0,1,1,1,0,0,3
0,3,2,4,3,2,2,2,25,20,2,1,1,3,0,0,1,1,1,1,0,3
0,1,0,0,0,1,1,1,18,54,0,2,1,3,0,0,1,1,1,1,0,4
0,2,4,1,0,2,2,2,16,48,2,1,1,3,0,0,1,1,1,1,0,0
3,1,4,1,0,0,2,2,27,39,2,1,1,3,1,0,1,1,1,1,1,2
3,2,0,0,0,0,1,1,18,6,1,2,0,3,0,0,1,1,0,0,0,8
0,1,4,1,0,0,2,2,24,32,0,1,1,3,3,0,1,1,1,1,0,4
1,1,4,1,0,0,2,2,5,21,13,1,1,3,0,0,1,1,1,1,0,3
3,2,2,5,0,2,2,2,5,54,1,1,1,3,3,0,1,1,1,1,0,5
3,3,3,6,0,0,1,0,25,38,2,2,1,3,1,0,1,1,1,1,0,1
3,1,4,1,0,0,1,1,23,33,0,1,0,3,0,0,1,0,1,1,1,3
3,3,4,5,0,2,2,2,16,30,2,0,1,3,3,0,1,1,1,1,0,9
0,1,0,1,0,0,2,2,22,35,0,1,1,3,0,0,1,1,1,1,0,5
1,2,4,4,1,2,1,0,6,0,0,2,1,3,0,1,1,1,1,1,0,5
3,3,4,5,0,2,2,2,16,39,2,1,1,3,1,0,1,1,1,1,0,2
3,2,2,1,0,2,2,2,5,42,2,1,1,3,1,0,1,1,1,1,1,2
3,3,7,1,0,0,2,2,6,20,0,1,1,3,0,0,1,1,1,1,0,3
3,2,4,1,0,0,2,2,24,22,2,1,1,3,0,0,1,1,1,1,0,4
3,2,1,1,0,2,2,2,8,26,0,1,1,3,0,0,1,1,1,1,0,8
3,1,0,0,0,0,1,1,18,42,0,2,1,3,1,0,1,1,1,1,0,2
1,2,0,6,0,2,2,2,20,6,2,1,1,3,0,0,1,1,1,1,0,9
1,1,0,0,0,0,1,2,18,26,1,2,0,3,4,0,1,1,1,0,0,5
1,2,0,0,0,2,1,1,18,56,0,2,1,3,0,0,1,1,1,1,0,9
3,3,3,1,0,0,2,2,25,42,0,1,1,3,1,0,1,1,1,1,1,5
3,0,0,0,0,0,1,1,18,57,11,2,1,3,0,0,1,1,1,0,1,5
3,1,3,1,0,2,2,2,5,24,5,1,1,3,1,0,1,1,1,1,1,5
3,0,4,1,0,0,2,2,23,20,0,0,1,3,3,0,1,1,1,1,0,3
3,0,2,3,1,2,2,2,5,6,12,0,1,3,3,0,1,1,1,0,0,9
1,2,4,6,0,2,1,1,20,24,1,2,1,3,0,0,1,1,1,1,0,7
3,2,3,1,0,2,2,2,20,57,5,1,1,3,1,0,1,1,1,1,0,4
3,3,4,1,3,0,2,2,25,48,2,1,1,3,0,0,1,1,1,1,0,0
1,2,4,1,0,0,2,2,1,24,0,1,1,3,3,0,1,1,1,1,0,7
